structure,corner_1 (bottom_left),corner_2 (bottom_right),corner_3 (top_left),corner_4 (top_right),type
Water_1,"(135, 32)","(180, 32)","(135, 0)","(135, 0)",WATER
Water_2,"(0, 32)","(45, 32)","(0, 0)","(0, 0)",WATER
Water_3,"(135, 160)","(180, 160)","(135, 128)","(135, 128)",WATER
Water_4,"(0, 160)","(45, 160)","(0, 128)","(0, 128)",WATER
maison_1,"(68, 66)","(78, 66)","(68, 54)","(68, 54)",MAISON
maison_2,"(122, 147)","(132, 147)","(122, 135)","(122, 135)",MAISON
maison_3,"(119, 23)","(131, 23)","(119, 13)","(119, 13)",MAISON
maison_4,"(79, 112)","(89, 112)","(79, 100)","(79, 100)",MAISON
maison_5,"(28, 88)","(38, 88)","(28, 76)","(28, 76)",MAISON
maison_6,"(146, 118)","(156, 118)","(146, 106)","(146, 106)",MAISON
bungalow_7,"(45, 60)","(52, 60)","(45, 49)","(45, 49)",BUNGALOW
bungalow_8,"(54, 27)","(65, 27)","(54, 20)","(54, 20)",BUNGALOW
bungalow_9,"(72, 154)","(79, 154)","(72, 143)","(72, 143)",BUNGALOW
bungalow_10,"(164, 63)","(171, 63)","(164, 52)","(164, 52)",BUNGALOW
bungalow_11,"(169, 115)","(176, 115)","(169, 104)","(169, 104)",BUNGALOW
bungalow_12,"(128, 125)","(135, 125)","(128, 114)","(128, 114)",BUNGALOW
bungalow_13,"(49, 129)","(60, 129)","(49, 122)","(49, 122)",BUNGALOW
bungalow_14,"(148, 68)","(155, 68)","(148, 57)","(148, 57)",BUNGALOW
bungalow_15,"(112, 107)","(123, 107)","(112, 100)","(112, 100)",BUNGALOW
bungalow_16,"(64, 47)","(71, 47)","(64, 36)","(64, 36)",BUNGALOW
single_17,"(74, 136)","(82, 136)","(74, 128)","(74, 128)",SINGLE
single_18,"(4, 112)","(12, 112)","(4, 104)","(4, 104)",SINGLE
single_19,"(8, 92)","(16, 92)","(8, 84)","(8, 84)",SINGLE
single_20,"(55, 12)","(63, 12)","(55, 4)","(55, 4)",SINGLE
single_21,"(105, 129)","(113, 129)","(105, 121)","(105, 121)",SINGLE
single_22,"(112, 66)","(120, 66)","(112, 58)","(112, 58)",SINGLE
single_23,"(54, 147)","(62, 147)","(54, 139)","(54, 139)",SINGLE
single_24,"(170, 43)","(178, 43)","(170, 35)","(170, 35)",SINGLE
single_25,"(92, 40)","(100, 40)","(92, 32)","(92, 32)",SINGLE
single_26,"(49, 41)","(57, 41)","(49, 33)","(49, 33)",SINGLE
single_27,"(92, 142)","(100, 142)","(92, 134)","(92, 134)",SINGLE
single_28,"(95, 127)","(103, 127)","(95, 119)","(95, 119)",SINGLE
single_29,"(106, 139)","(114, 139)","(106, 131)","(106, 131)",SINGLE
single_30,"(121, 92)","(129, 92)","(121, 84)","(121, 84)",SINGLE
single_31,"(104, 151)","(112, 151)","(104, 143)","(104, 143)",SINGLE
single_32,"(53, 91)","(61, 91)","(53, 83)","(53, 83)",SINGLE
single_33,"(96, 75)","(104, 75)","(96, 67)","(96, 67)",SINGLE
single_34,"(159, 92)","(167, 92)","(159, 84)","(159, 84)",SINGLE
single_35,"(104, 88)","(112, 88)","(104, 80)","(104, 80)",SINGLE
single_36,"(101, 106)","(109, 106)","(101, 98)","(101, 98)",SINGLE
single_37,"(24, 112)","(32, 112)","(24, 104)","(24, 104)",SINGLE
single_38,"(60, 110)","(68, 110)","(60, 102)","(60, 102)",SINGLE
single_39,"(70, 24)","(78, 24)","(70, 16)","(70, 16)",SINGLE
single_40,"(9, 52)","(17, 52)","(9, 44)","(9, 44)",SINGLE
networth,17755532
