structure,corner_1 (bottom_left),corner_2 (bottom_right),corner_3 (top_left),corner_4 (top_right),type
Water_1,"(135, 32)","(180, 32)","(135, 0)","(135, 0)",WATER
Water_2,"(0, 32)","(45, 32)","(0, 0)","(0, 0)",WATER
Water_3,"(135, 160)","(180, 160)","(135, 128)","(135, 128)",WATER
Water_4,"(0, 160)","(45, 160)","(0, 128)","(0, 128)",WATER
maison_1,"(66, 153)","(76, 153)","(66, 141)","(66, 141)",MAISON
maison_2,"(113, 18)","(125, 18)","(113, 8)","(113, 8)",MAISON
maison_3,"(69, 42)","(81, 42)","(69, 32)","(69, 32)",MAISON
maison_4,"(39, 126)","(49, 126)","(39, 114)","(39, 114)",MAISON
maison_5,"(21, 65)","(33, 65)","(21, 55)","(21, 55)",MAISON
maison_6,"(107, 98)","(119, 98)","(107, 88)","(107, 88)",MAISON
maison_7,"(159, 127)","(171, 127)","(159, 117)","(159, 117)",MAISON
maison_8,"(64, 131)","(76, 131)","(64, 121)","(64, 121)",MAISON
maison_9,"(71, 69)","(81, 69)","(71, 57)","(71, 57)",MAISON
bungalow_10,"(104, 53)","(115, 53)","(104, 46)","(104, 46)",BUNGALOW
bungalow_11,"(3, 74)","(10, 74)","(3, 63)","(3, 63)",BUNGALOW
bungalow_12,"(118, 157)","(129, 157)","(118, 150)","(118, 150)",BUNGALOW
bungalow_13,"(88, 109)","(99, 109)","(88, 102)","(88, 102)",BUNGALOW
bungalow_14,"(115, 79)","(126, 79)","(115, 72)","(115, 72)",BUNGALOW
bungalow_15,"(39, 99)","(50, 99)","(39, 92)","(39, 92)",BUNGALOW
bungalow_16,"(152, 104)","(163, 104)","(152, 97)","(152, 97)",BUNGALOW
bungalow_17,"(85, 155)","(92, 155)","(85, 144)","(85, 144)",BUNGALOW
bungalow_18,"(156, 50)","(163, 50)","(156, 39)","(156, 39)",BUNGALOW
bungalow_19,"(105, 76)","(112, 76)","(105, 65)","(105, 65)",BUNGALOW
bungalow_20,"(100, 154)","(107, 154)","(100, 143)","(100, 143)",BUNGALOW
bungalow_21,"(38, 48)","(49, 48)","(38, 41)","(38, 41)",BUNGALOW
bungalow_22,"(128, 103)","(135, 103)","(128, 92)","(128, 92)",BUNGALOW
bungalow_23,"(64, 22)","(71, 22)","(64, 11)","(64, 11)",BUNGALOW
bungalow_24,"(90, 21)","(97, 21)","(90, 10)","(90, 10)",BUNGALOW
single_25,"(158, 64)","(166, 64)","(158, 56)","(158, 56)",SINGLE
single_26,"(21, 41)","(29, 41)","(21, 33)","(21, 33)",SINGLE
single_27,"(28, 84)","(36, 84)","(28, 76)","(28, 76)",SINGLE
single_28,"(168, 93)","(176, 93)","(168, 85)","(168, 85)",SINGLE
single_29,"(3, 101)","(11, 101)","(3, 93)","(3, 93)",SINGLE
single_30,"(5, 128)","(13, 128)","(5, 120)","(5, 120)",SINGLE
single_31,"(3, 56)","(11, 56)","(3, 48)","(3, 48)",SINGLE
single_32,"(46, 65)","(54, 65)","(46, 57)","(46, 57)",SINGLE
single_33,"(59, 109)","(67, 109)","(59, 101)","(59, 101)",SINGLE
single_34,"(48, 152)","(56, 152)","(48, 144)","(48, 144)",SINGLE
single_35,"(75, 23)","(83, 23)","(75, 15)","(75, 15)",SINGLE
single_36,"(139, 95)","(147, 95)","(139, 87)","(139, 87)",SINGLE
single_37,"(122, 123)","(130, 123)","(122, 115)","(122, 115)",SINGLE
single_38,"(20, 120)","(28, 120)","(20, 112)","(20, 112)",SINGLE
single_39,"(138, 46)","(146, 46)","(138, 38)","(138, 38)",SINGLE
single_40,"(154, 77)","(162, 77)","(154, 69)","(154, 69)",SINGLE
single_41,"(47, 35)","(55, 35)","(47, 27)","(47, 27)",SINGLE
single_42,"(129, 60)","(137, 60)","(129, 52)","(129, 52)",SINGLE
single_43,"(73, 109)","(81, 109)","(73, 101)","(73, 101)",SINGLE
single_44,"(125, 41)","(133, 41)","(125, 33)","(125, 33)",SINGLE
single_45,"(141, 109)","(149, 109)","(141, 101)","(141, 101)",SINGLE
single_46,"(21, 103)","(29, 103)","(21, 95)","(21, 95)",SINGLE
single_47,"(111, 135)","(119, 135)","(111, 127)","(111, 127)",SINGLE
single_48,"(86, 138)","(94, 138)","(86, 130)","(86, 130)",SINGLE
single_49,"(6, 115)","(14, 115)","(6, 107)","(6, 107)",SINGLE
single_50,"(101, 134)","(109, 134)","(101, 126)","(101, 126)",SINGLE
single_51,"(154, 90)","(162, 90)","(154, 82)","(154, 82)",SINGLE
single_52,"(134, 126)","(142, 126)","(134, 118)","(134, 118)",SINGLE
single_53,"(48, 79)","(56, 79)","(48, 71)","(48, 71)",SINGLE
single_54,"(45, 20)","(53, 20)","(45, 12)","(45, 12)",SINGLE
single_55,"(93, 79)","(101, 79)","(93, 71)","(93, 71)",SINGLE
single_56,"(130, 83)","(138, 83)","(130, 75)","(130, 75)",SINGLE
single_57,"(9, 45)","(17, 45)","(9, 37)","(9, 37)",SINGLE
single_58,"(68, 95)","(76, 95)","(68, 87)","(68, 87)",SINGLE
single_59,"(168, 42)","(176, 42)","(168, 34)","(168, 34)",SINGLE
single_60,"(148, 67)","(156, 67)","(148, 59)","(148, 59)",SINGLE
networth,24960876
