structure,corner_1,corner_2,corner_3,corner_4,type
Water_1,"50,116","50,44","130,44","130,116",WATER
maison_1,"98,152","98,140","108,140","108,152",MAISON
maison_2,"50,148","50,136","60,136","60,148",MAISON
maison_3,"141,105","141,95","153,95","153,105",MAISON
bungalow_4,"14,12","14,5","25,5","25,12",BUNGALOW
bungalow_5,"154,22","154,15","165,15","165,22",BUNGALOW
bungalow_6,"39,48","39,37","46,37","46,48",BUNGALOW
bungalow_7,"97,34","97,23","104,23","104,34",BUNGALOW
bungalow_8,"21,110","21,103","32,103","32,110",BUNGALOW
eengezinswoning_9,"27,72","27,64","35,64","35,72",EENGEZINSWONING
eengezinswoning_10,"7,142","7,134","15,134","15,142",EENGEZINSWONING
eengezinswoning_11,"133,158","133,150","141,150","141,158",EENGEZINSWONING
eengezinswoning_12,"144,42","144,34","152,34","152,42",EENGEZINSWONING
eengezinswoning_13,"14,98","14,90","22,90","22,98",EENGEZINSWONING
eengezinswoning_14,"56,42","56,34","64,34","64,42",EENGEZINSWONING
eengezinswoning_15,"25,99","25,91","33,91","33,99",EENGEZINSWONING
eengezinswoning_16,"119,30","119,22","127,22","127,30",EENGEZINSWONING
eengezinswoning_17,"33,88","33,80","41,80","41,88",EENGEZINSWONING
eengezinswoning_18,"28,131","28,123","36,123","36,131",EENGEZINSWONING
eengezinswoning_19,"6,71","6,63","14,63","14,71",EENGEZINSWONING
eengezinswoning_20,"38,112","38,104","46,104","46,112",EENGEZINSWONING
networth,11410982
