structure,corner_1 (bottom_left),corner_2 (bottom_right),corner_3 (top_left),corner_4 (top_right),type
Water_1,"(135, 32)","(180, 32)","(135, 0)","(135, 0)",WATER
Water_2,"(0, 32)","(45, 32)","(0, 0)","(0, 0)",WATER
Water_3,"(135, 160)","(180, 160)","(135, 128)","(135, 128)",WATER
Water_4,"(0, 160)","(45, 160)","(0, 128)","(0, 128)",WATER
maison_1,"(62, 39)","(74, 39)","(62, 29)","(62, 29)",MAISON
maison_2,"(157, 125)","(169, 125)","(157, 115)","(157, 115)",MAISON
maison_3,"(52, 153)","(64, 153)","(52, 143)","(52, 143)",MAISON
bungalow_4,"(71, 111)","(82, 111)","(71, 104)","(71, 104)",BUNGALOW
bungalow_5,"(45, 114)","(56, 114)","(45, 107)","(45, 107)",BUNGALOW
bungalow_6,"(124, 82)","(135, 82)","(124, 75)","(124, 75)",BUNGALOW
bungalow_7,"(108, 39)","(119, 39)","(108, 32)","(108, 32)",BUNGALOW
bungalow_8,"(10, 102)","(17, 102)","(10, 91)","(10, 91)",BUNGALOW
single_9,"(115, 104)","(123, 104)","(115, 96)","(115, 96)",SINGLE
single_10,"(39, 76)","(47, 76)","(39, 68)","(39, 68)",SINGLE
single_11,"(163, 62)","(171, 62)","(163, 54)","(163, 54)",SINGLE
single_12,"(25, 54)","(33, 54)","(25, 46)","(25, 46)",SINGLE
single_13,"(109, 126)","(117, 126)","(109, 118)","(109, 118)",SINGLE
single_14,"(70, 76)","(78, 76)","(70, 68)","(70, 68)",SINGLE
single_15,"(105, 51)","(113, 51)","(105, 43)","(105, 43)",SINGLE
single_16,"(99, 108)","(107, 108)","(99, 100)","(99, 100)",SINGLE
single_17,"(153, 82)","(161, 82)","(153, 74)","(153, 74)",SINGLE
single_18,"(125, 149)","(133, 149)","(125, 141)","(125, 141)",SINGLE
single_19,"(83, 87)","(91, 87)","(83, 79)","(83, 79)",SINGLE
single_20,"(59, 89)","(67, 89)","(59, 81)","(59, 81)",SINGLE
networth,11514240
