structure,corner_1 (bottom_left),corner_2 (bottom_right),corner_3 (top_left),corner_4 (top_right),type
Water_1,"(0, 32)","(180, 32)","(0, 0)","(0, 0)",WATER
maison_1,"(112, 106)","(124, 106)","(112, 96)","(112, 96)",MAISON
maison_2,"(10, 80)","(22, 80)","(10, 70)","(10, 70)",MAISON
maison_3,"(64, 73)","(76, 73)","(64, 63)","(64, 63)",MAISON
bungalow_4,"(73, 155)","(84, 155)","(73, 148)","(73, 148)",BUNGALOW
bungalow_5,"(84, 48)","(95, 48)","(84, 41)","(84, 41)",BUNGALOW
bungalow_6,"(44, 44)","(51, 44)","(44, 33)","(44, 33)",BUNGALOW
bungalow_7,"(39, 134)","(50, 134)","(39, 127)","(39, 127)",BUNGALOW
bungalow_8,"(84, 103)","(91, 103)","(84, 92)","(84, 92)",BUNGALOW
single_9,"(127, 45)","(135, 45)","(127, 37)","(127, 37)",SINGLE
single_10,"(15, 55)","(23, 55)","(15, 47)","(15, 47)",SINGLE
single_11,"(133, 102)","(141, 102)","(133, 94)","(133, 94)",SINGLE
single_12,"(167, 84)","(175, 84)","(167, 76)","(167, 76)",SINGLE
single_13,"(149, 155)","(157, 155)","(149, 147)","(149, 147)",SINGLE
single_14,"(41, 152)","(49, 152)","(41, 144)","(41, 144)",SINGLE
single_15,"(22, 107)","(30, 107)","(22, 99)","(22, 99)",SINGLE
single_16,"(9, 149)","(17, 149)","(9, 141)","(9, 141)",SINGLE
single_17,"(144, 74)","(152, 74)","(144, 66)","(144, 66)",SINGLE
single_18,"(103, 132)","(111, 132)","(103, 124)","(103, 124)",SINGLE
single_19,"(32, 122)","(40, 122)","(32, 114)","(32, 114)",SINGLE
single_20,"(125, 151)","(133, 151)","(125, 143)","(125, 143)",SINGLE
networth,10516977
