structure,corner_1 (bottom_left),corner_2 (bottom_right),corner_3 (top_left),corner_4 (top_right),type
Water_1,"(0, 32)","(180, 32)","(0, 0)","(0, 0)",WATER
maison_1,"(152, 147)","(162, 147)","(152, 135)","(152, 135)",MAISON
maison_2,"(88, 127)","(98, 127)","(88, 115)","(88, 115)",MAISON
maison_3,"(63, 64)","(73, 64)","(63, 52)","(63, 52)",MAISON
bungalow_4,"(104, 139)","(111, 139)","(104, 128)","(104, 128)",BUNGALOW
bungalow_5,"(129, 118)","(136, 118)","(129, 107)","(129, 107)",BUNGALOW
bungalow_6,"(19, 151)","(26, 151)","(19, 140)","(19, 140)",BUNGALOW
bungalow_7,"(132, 94)","(139, 94)","(132, 83)","(132, 83)",BUNGALOW
bungalow_8,"(126, 63)","(137, 63)","(126, 56)","(126, 56)",BUNGALOW
single_9,"(38, 137)","(46, 137)","(38, 129)","(38, 129)",SINGLE
single_10,"(112, 77)","(120, 77)","(112, 69)","(112, 69)",SINGLE
single_11,"(44, 44)","(52, 44)","(44, 36)","(44, 36)",SINGLE
single_12,"(8, 44)","(16, 44)","(8, 36)","(8, 36)",SINGLE
single_13,"(7, 55)","(15, 55)","(7, 47)","(7, 47)",SINGLE
single_14,"(110, 104)","(118, 104)","(110, 96)","(110, 96)",SINGLE
single_15,"(44, 119)","(52, 119)","(44, 111)","(44, 111)",SINGLE
single_16,"(158, 76)","(166, 76)","(158, 68)","(158, 68)",SINGLE
single_17,"(88, 46)","(96, 46)","(88, 38)","(88, 38)",SINGLE
single_18,"(116, 47)","(124, 47)","(116, 39)","(116, 39)",SINGLE
single_19,"(39, 96)","(47, 96)","(39, 88)","(39, 88)",SINGLE
single_20,"(129, 42)","(137, 42)","(129, 34)","(129, 34)",SINGLE
networth,9569481
