structure,corner_1,corner_2,corner_3,corner_4,type
Water_1,"135,32","135,0","180,0","180,32",WATER
Water_2,"0,32","0,0","45,0","45,32",WATER
Water_3,"135,160","135,128","180,128","180,160",WATER
Water_4,"0,160","0,128","45,128","45,160",WATER
maison_1,"13,106","13,96","25,96","25,106",MAISON
maison_2,"11,50","11,40","23,40","23,50",MAISON
maison_3,"52,107","52,97","64,97","64,107",MAISON
bungalow_4,"122,25","122,14","129,14","129,25",BUNGALOW
bungalow_5,"88,96","88,89","99,89","99,96",BUNGALOW
bungalow_6,"54,69","54,62","65,62","65,69",BUNGALOW
bungalow_7,"114,83","114,76","125,76","125,83",BUNGALOW
bungalow_8,"50,12","50,5","61,5","61,12",BUNGALOW
eengezinswoning_9,"150,112","150,104","158,104","158,112",EENGEZINSWONING
eengezinswoning_10,"88,71","88,63","96,63","96,71",EENGEZINSWONING
eengezinswoning_11,"138,56","138,48","146,48","146,56",EENGEZINSWONING
eengezinswoning_12,"88,132","88,124","96,124","96,132",EENGEZINSWONING
eengezinswoning_13,"133,111","133,103","141,103","141,111",EENGEZINSWONING
eengezinswoning_14,"139,73","139,65","147,65","147,73",EENGEZINSWONING
eengezinswoning_15,"102,126","102,118","110,118","110,126",EENGEZINSWONING
eengezinswoning_16,"150,61","150,53","158,53","158,61",EENGEZINSWONING
eengezinswoning_17,"163,95","163,87","171,87","171,95",EENGEZINSWONING
eengezinswoning_18,"88,53","88,45","96,45","96,53",EENGEZINSWONING
eengezinswoning_19,"82,142","82,134","90,134","90,142",EENGEZINSWONING
eengezinswoning_20,"109,64","109,56","117,56","117,64",EENGEZINSWONING
networth,11769206
