structure,corner_1,corner_2,corner_3,corner_4,type
Water_1,"50,116","50,44","130,44","130,116",WATER
maison_1,"108,126","108,116","120,116","120,126",MAISON
maison_2,"46,19","46,7","56,7","56,19",MAISON
maison_3,"162,33","162,21","172,21","172,33",MAISON
maison_4,"7,22","7,10","17,10","17,22",MAISON
maison_5,"32,58","32,48","44,48","44,58",MAISON
maison_6,"158,124","158,112","168,112","168,124",MAISON
maison_7,"145,54","145,44","157,44","157,54",MAISON
maison_8,"36,39","36,29","48,29","48,39",MAISON
maison_9,"83,38","83,28","95,28","95,38",MAISON
bungalow_10,"19,153","19,142","26,142","26,153",BUNGALOW
bungalow_11,"4,57","4,46","11,46","11,57",BUNGALOW
bungalow_12,"7,122","7,111","14,111","14,122",BUNGALOW
bungalow_13,"88,12","88,5","99,5","99,12",BUNGALOW
bungalow_14,"167,154","167,143","174,143","174,154",BUNGALOW
bungalow_15,"112,146","112,135","119,135","119,146",BUNGALOW
bungalow_16,"163,72","163,65","174,65","174,72",BUNGALOW
bungalow_17,"132,75","132,64","139,64","139,75",BUNGALOW
bungalow_18,"68,18","68,7","75,7","75,18",BUNGALOW
bungalow_19,"37,120","37,109","44,109","44,120",BUNGALOW
bungalow_20,"64,144","64,137","75,137","75,144",BUNGALOW
bungalow_21,"132,89","132,82","143,82","143,89",BUNGALOW
bungalow_22,"30,142","30,135","41,135","41,142",BUNGALOW
bungalow_23,"131,55","131,44","138,44","138,55",BUNGALOW
bungalow_24,"65,40","65,29","72,29","72,40",BUNGALOW
eengezinswoning_25,"64,125","64,117","72,117","72,125",EENGEZINSWONING
eengezinswoning_26,"134,25","134,17","142,17","142,25",EENGEZINSWONING
eengezinswoning_27,"7,100","7,92","15,92","15,100",EENGEZINSWONING
eengezinswoning_28,"133,120","133,112","141,112","141,120",EENGEZINSWONING
eengezinswoning_29,"4,149","4,141","12,141","12,149",EENGEZINSWONING
eengezinswoning_30,"97,152","97,144","105,144","105,152",EENGEZINSWONING
eengezinswoning_31,"170,97","170,89","178,89","178,97",EENGEZINSWONING
eengezinswoning_32,"148,157","148,149","156,149","156,157",EENGEZINSWONING
eengezinswoning_33,"21,125","21,117","29,117","29,125",EENGEZINSWONING
eengezinswoning_34,"50,125","50,117","58,117","58,125",EENGEZINSWONING
eengezinswoning_35,"115,27","115,19","123,19","123,27",EENGEZINSWONING
eengezinswoning_36,"143,75","143,67","151,67","151,75",EENGEZINSWONING
eengezinswoning_37,"25,83","25,75","33,75","33,83",EENGEZINSWONING
eengezinswoning_38,"18,113","18,105","26,105","26,113",EENGEZINSWONING
eengezinswoning_39,"131,154","131,146","139,146","139,154",EENGEZINSWONING
eengezinswoning_40,"10,85","10,77","18,77","18,85",EENGEZINSWONING
eengezinswoning_41,"169,86","169,78","177,78","177,86",EENGEZINSWONING
eengezinswoning_42,"139,106","139,98","147,98","147,106",EENGEZINSWONING
eengezinswoning_43,"90,126","90,118","98,118","98,126",EENGEZINSWONING
eengezinswoning_44,"142,140","142,132","150,132","150,140",EENGEZINSWONING
eengezinswoning_45,"34,100","34,92","42,92","42,100",EENGEZINSWONING
eengezinswoning_46,"36,154","36,146","44,146","44,154",EENGEZINSWONING
eengezinswoning_47,"80,143","80,135","88,135","88,143",EENGEZINSWONING
eengezinswoning_48,"133,37","133,29","141,29","141,37",EENGEZINSWONING
eengezinswoning_49,"14,47","14,39","22,39","22,47",EENGEZINSWONING
eengezinswoning_50,"45,135","45,127","53,127","53,135",EENGEZINSWONING
eengezinswoning_51,"148,12","148,4","156,4","156,12",EENGEZINSWONING
eengezinswoning_52,"129,13","129,5","137,5","137,13",EENGEZINSWONING
eengezinswoning_53,"155,84","155,76","163,76","163,84",EENGEZINSWONING
eengezinswoning_54,"24,99","24,91","32,91","32,99",EENGEZINSWONING
eengezinswoning_55,"168,55","168,47","176,47","176,55",EENGEZINSWONING
eengezinswoning_56,"156,101","156,93","164,93","164,101",EENGEZINSWONING
eengezinswoning_57,"15,63","15,55","23,55","23,63",EENGEZINSWONING
eengezinswoning_58,"38,84","38,76","46,76","46,84",EENGEZINSWONING
eengezinswoning_59,"130,134","130,126","138,126","138,134",EENGEZINSWONING
eengezinswoning_60,"71,156","71,148","79,148","79,156",EENGEZINSWONING
networth,25011053
