structure,corner_1,corner_2,corner_3,corner_4,type
Water_1,"50,116","50,44","130,44","130,116",WATER
maison_1,"34,108","34,98","46,98","46,108",MAISON
maison_2,"18,19","18,9","30,9","30,19",MAISON
maison_3,"162,25","162,13","172,13","172,25",MAISON
maison_4,"8,125","8,113","18,113","18,125",MAISON
maison_5,"148,154","148,142","158,142","158,154",MAISON
maison_6,"13,52","13,40","23,40","23,52",MAISON
bungalow_7,"132,94","132,83","139,83","139,94",BUNGALOW
bungalow_8,"128,20","128,13","139,13","139,20",BUNGALOW
bungalow_9,"3,81","3,70","10,70","10,81",BUNGALOW
bungalow_10,"163,52","163,45","174,45","174,52",BUNGALOW
bungalow_11,"158,74","158,67","169,67","169,74",BUNGALOW
bungalow_12,"53,12","53,5","64,5","64,12",BUNGALOW
bungalow_13,"115,133","115,122","122,122","122,133",BUNGALOW
bungalow_14,"89,131","89,124","100,124","100,131",BUNGALOW
bungalow_15,"81,14","81,3","88,3","88,14",BUNGALOW
bungalow_16,"38,155","38,148","49,148","49,155",BUNGALOW
eengezinswoning_17,"139,64","139,56","147,56","147,64",EENGEZINSWONING
eengezinswoning_18,"16,157","16,149","24,149","24,157",EENGEZINSWONING
eengezinswoning_19,"127,157","127,149","135,149","135,157",EENGEZINSWONING
eengezinswoning_20,"2,102","2,94","10,94","10,102",EENGEZINSWONING
eengezinswoning_21,"163,118","163,110","171,110","171,118",EENGEZINSWONING
eengezinswoning_22,"133,113","133,105","141,105","141,113",EENGEZINSWONING
eengezinswoning_23,"56,139","56,131","64,131","64,139",EENGEZINSWONING
eengezinswoning_24,"115,42","115,34","123,34","123,42",EENGEZINSWONING
eengezinswoning_25,"37,137","37,129","45,129","45,137",EENGEZINSWONING
eengezinswoning_26,"56,31","56,23","64,23","64,31",EENGEZINSWONING
eengezinswoning_27,"137,50","137,42","145,42","145,50",EENGEZINSWONING
eengezinswoning_28,"166,96","166,88","174,88","174,96",EENGEZINSWONING
eengezinswoning_29,"162,129","162,121","170,121","170,129",EENGEZINSWONING
eengezinswoning_30,"70,40","70,32","78,32","78,40",EENGEZINSWONING
eengezinswoning_31,"21,145","21,137","29,137","29,145",EENGEZINSWONING
eengezinswoning_32,"88,44","88,36","96,36","96,44",EENGEZINSWONING
eengezinswoning_33,"150,90","150,82","158,82","158,90",EENGEZINSWONING
eengezinswoning_34,"72,154","72,146","80,146","80,154",EENGEZINSWONING
eengezinswoning_35,"99,39","99,31","107,31","107,39",EENGEZINSWONING
eengezinswoning_36,"102,152","102,144","110,144","110,152",EENGEZINSWONING
eengezinswoning_37,"28,83","28,75","36,75","36,83",EENGEZINSWONING
eengezinswoning_38,"137,124","137,116","145,116","145,124",EENGEZINSWONING
eengezinswoning_39,"88,148","88,140","96,140","96,148",EENGEZINSWONING
eengezinswoning_40,"105,27","105,19","113,19","113,27",EENGEZINSWONING
networth,19127143
