structure,corner_1 (bottom_left),corner_2 (bottom_right),corner_3 (top_left),corner_4 (top_right),type
Water_1,"(135, 32)","(180, 32)","(135, 0)","(135, 0)",WATER
Water_2,"(0, 32)","(45, 32)","(0, 0)","(0, 0)",WATER
Water_3,"(135, 160)","(180, 160)","(135, 128)","(135, 128)",WATER
Water_4,"(0, 160)","(45, 160)","(0, 128)","(0, 128)",WATER
maison_1,"(24, 114)","(36, 114)","(24, 104)","(24, 104)",MAISON
maison_2,"(28, 88)","(38, 88)","(28, 76)","(28, 76)",MAISON
maison_3,"(119, 23)","(131, 23)","(119, 13)","(119, 13)",MAISON
maison_4,"(146, 118)","(156, 118)","(146, 106)","(146, 106)",MAISON
maison_5,"(9, 56)","(19, 56)","(9, 44)","(9, 44)",MAISON
maison_6,"(92, 44)","(102, 44)","(92, 32)","(92, 32)",MAISON
bungalow_7,"(68, 65)","(75, 65)","(68, 54)","(68, 54)",BUNGALOW
bungalow_8,"(79, 111)","(86, 111)","(79, 100)","(79, 100)",BUNGALOW
bungalow_9,"(122, 146)","(129, 146)","(122, 135)","(122, 135)",BUNGALOW
bungalow_10,"(4, 115)","(11, 115)","(4, 104)","(4, 104)",BUNGALOW
bungalow_11,"(169, 115)","(176, 115)","(169, 104)","(169, 104)",BUNGALOW
bungalow_12,"(128, 125)","(135, 125)","(128, 114)","(128, 114)",BUNGALOW
bungalow_13,"(49, 129)","(60, 129)","(49, 122)","(49, 122)",BUNGALOW
bungalow_14,"(53, 90)","(64, 90)","(53, 83)","(53, 83)",BUNGALOW
bungalow_15,"(164, 63)","(171, 63)","(164, 52)","(164, 52)",BUNGALOW
bungalow_16,"(148, 68)","(155, 68)","(148, 57)","(148, 57)",BUNGALOW
single_17,"(74, 136)","(82, 136)","(74, 128)","(74, 128)",SINGLE
single_18,"(54, 28)","(62, 28)","(54, 20)","(54, 20)",SINGLE
single_19,"(8, 92)","(16, 92)","(8, 84)","(8, 84)",SINGLE
single_20,"(55, 12)","(63, 12)","(55, 4)","(55, 4)",SINGLE
single_21,"(105, 129)","(113, 129)","(105, 121)","(105, 121)",SINGLE
single_22,"(112, 108)","(120, 108)","(112, 100)","(112, 100)",SINGLE
single_23,"(54, 147)","(62, 147)","(54, 139)","(54, 139)",SINGLE
single_24,"(170, 43)","(178, 43)","(170, 35)","(170, 35)",SINGLE
single_25,"(72, 151)","(80, 151)","(72, 143)","(72, 143)",SINGLE
single_26,"(49, 41)","(57, 41)","(49, 33)","(49, 33)",SINGLE
single_27,"(92, 142)","(100, 142)","(92, 134)","(92, 134)",SINGLE
single_28,"(95, 127)","(103, 127)","(95, 119)","(95, 119)",SINGLE
single_29,"(106, 139)","(114, 139)","(106, 131)","(106, 131)",SINGLE
single_30,"(121, 92)","(129, 92)","(121, 84)","(121, 84)",SINGLE
single_31,"(104, 151)","(112, 151)","(104, 143)","(104, 143)",SINGLE
single_32,"(45, 57)","(53, 57)","(45, 49)","(45, 49)",SINGLE
single_33,"(96, 75)","(104, 75)","(96, 67)","(96, 67)",SINGLE
single_34,"(64, 44)","(72, 44)","(64, 36)","(64, 36)",SINGLE
single_35,"(104, 88)","(112, 88)","(104, 80)","(104, 80)",SINGLE
single_36,"(101, 106)","(109, 106)","(101, 98)","(101, 98)",SINGLE
single_37,"(159, 92)","(167, 92)","(159, 84)","(159, 84)",SINGLE
single_38,"(60, 110)","(68, 110)","(60, 102)","(60, 102)",SINGLE
single_39,"(70, 24)","(78, 24)","(70, 16)","(70, 16)",SINGLE
single_40,"(112, 66)","(120, 66)","(112, 58)","(112, 58)",SINGLE
networth,18672977
