structure,corner_1,corner_2,corner_3,corner_4,type
Water_1,"0,32","0,0","180,0","180,32",WATER
maison_1,"161,122","161,110","171,110","171,122",MAISON
maison_2,"115,44","115,32","125,32","125,44",MAISON
maison_3,"7,48","7,36","17,36","17,48",MAISON
bungalow_4,"108,80","108,73","119,73","119,80",BUNGALOW
bungalow_5,"75,116","75,109","86,109","86,116",BUNGALOW
bungalow_6,"7,154","7,143","14,143","14,154",BUNGALOW
bungalow_7,"128,111","128,100","135,100","135,111",BUNGALOW
bungalow_8,"139,154","139,143","146,143","146,154",BUNGALOW
eengezinswoning_9,"18,90","18,82","26,82","26,90",EENGEZINSWONING
eengezinswoning_10,"51,52","51,44","59,44","59,52",EENGEZINSWONING
eengezinswoning_11,"27,147","27,139","35,139","35,147",EENGEZINSWONING
eengezinswoning_12,"29,117","29,109","37,109","37,117",EENGEZINSWONING
eengezinswoning_13,"143,85","143,77","151,77","151,85",EENGEZINSWONING
eengezinswoning_14,"166,68","166,60","174,60","174,68",EENGEZINSWONING
eengezinswoning_15,"102,151","102,143","110,143","110,151",EENGEZINSWONING
eengezinswoning_16,"48,73","48,65","56,65","56,73",EENGEZINSWONING
eengezinswoning_17,"41,109","41,101","49,101","49,109",EENGEZINSWONING
eengezinswoning_18,"144,70","144,62","152,62","152,70",EENGEZINSWONING
eengezinswoning_19,"84,151","84,143","92,143","92,151",EENGEZINSWONING
eengezinswoning_20,"167,41","167,33","175,33","175,41",EENGEZINSWONING
networth,12077858
