structure,corner_1,corner_2,corner_3,corner_4,type
Water_1,"50,116","50,44","130,44","130,116",WATER
maison_1,"17,19","17,7","27,7","27,19",MAISON
maison_2,"90,151","90,139","100,139","100,151",MAISON
maison_3,"120,41","120,29","130,29","130,41",MAISON
maison_4,"108,19","108,9","120,9","120,19",MAISON
maison_5,"125,133","125,121","135,121","135,133",MAISON
maison_6,"136,84","136,74","148,74","148,84",MAISON
maison_7,"146,133","146,121","156,121","156,133",MAISON
maison_8,"78,25","78,15","90,15","90,25",MAISON
maison_9,"65,146","65,134","75,134","75,146",MAISON
bungalow_10,"23,62","23,51","30,51","30,62",BUNGALOW
bungalow_11,"29,155","29,144","36,144","36,155",BUNGALOW
bungalow_12,"159,42","159,35","170,35","170,42",BUNGALOW
bungalow_13,"11,87","11,76","18,76","18,87",BUNGALOW
bungalow_14,"125,154","125,147","136,147","136,154",BUNGALOW
bungalow_15,"32,102","32,95","43,95","43,102",BUNGALOW
bungalow_16,"53,43","53,32","60,32","60,43",BUNGALOW
bungalow_17,"134,21","134,14","145,14","145,21",BUNGALOW
bungalow_18,"47,24","47,17","58,17","58,24",BUNGALOW
bungalow_19,"167,64","167,53","174,53","174,64",BUNGALOW
bungalow_20,"3,68","3,57","10,57","10,68",BUNGALOW
bungalow_21,"23,133","23,126","34,126","34,133",BUNGALOW
bungalow_22,"85,131","85,124","96,124","96,131",BUNGALOW
bungalow_23,"170,112","170,101","177,101","177,112",BUNGALOW
bungalow_24,"144,35","144,24","151,24","151,35",BUNGALOW
eengezinswoning_25,"154,100","154,92","162,92","162,100",EENGEZINSWONING
eengezinswoning_26,"61,10","61,2","69,2","69,10",EENGEZINSWONING
eengezinswoning_27,"101,40","101,32","109,32","109,40",EENGEZINSWONING
eengezinswoning_28,"169,76","169,68","177,68","177,76",EENGEZINSWONING
eengezinswoning_29,"16,38","16,30","24,30","24,38",EENGEZINSWONING
eengezinswoning_30,"42,58","42,50","50,50","50,58",EENGEZINSWONING
eengezinswoning_31,"166,11","166,3","174,3","174,11",EENGEZINSWONING
eengezinswoning_32,"107,131","107,123","115,123","115,131",EENGEZINSWONING
eengezinswoning_33,"81,41","81,33","89,33","89,41",EENGEZINSWONING
eengezinswoning_34,"38,41","38,33","46,33","46,41",EENGEZINSWONING
eengezinswoning_35,"169,154","169,146","177,146","177,154",EENGEZINSWONING
eengezinswoning_36,"4,138","4,130","12,130","12,138",EENGEZINSWONING
eengezinswoning_37,"45,141","45,133","53,133","53,141",EENGEZINSWONING
eengezinswoning_38,"135,99","135,91","143,91","143,99",EENGEZINSWONING
eengezinswoning_39,"27,120","27,112","35,112","35,120",EENGEZINSWONING
eengezinswoning_40,"49,130","49,122","57,122","57,130",EENGEZINSWONING
eengezinswoning_41,"33,19","33,11","41,11","41,19",EENGEZINSWONING
eengezinswoning_42,"70,42","70,34","78,34","78,42",EENGEZINSWONING
eengezinswoning_43,"26,38","26,30","34,30","34,38",EENGEZINSWONING
eengezinswoning_44,"6,157","6,149","14,149","14,157",EENGEZINSWONING
eengezinswoning_45,"18,109","18,101","26,101","26,109",EENGEZINSWONING
eengezinswoning_46,"165,123","165,115","173,115","173,123",EENGEZINSWONING
eengezinswoning_47,"9,50","9,42","17,42","17,50",EENGEZINSWONING
eengezinswoning_48,"37,86","37,78","45,78","45,86",EENGEZINSWONING
eengezinswoning_49,"150,13","150,5","158,5","158,13",EENGEZINSWONING
eengezinswoning_50,"61,126","61,118","69,118","69,126",EENGEZINSWONING
eengezinswoning_51,"142,46","142,38","150,38","150,46",EENGEZINSWONING
eengezinswoning_52,"2,110","2,102","10,102","10,110",EENGEZINSWONING
eengezinswoning_53,"47,153","47,145","55,145","55,153",EENGEZINSWONING
eengezinswoning_54,"44,10","44,2","52,2","52,10",EENGEZINSWONING
eengezinswoning_55,"139,66","139,58","147,58","147,66",EENGEZINSWONING
eengezinswoning_56,"13,121","13,113","21,113","21,121",EENGEZINSWONING
eengezinswoning_57,"151,67","151,59","159,59","159,67",EENGEZINSWONING
eengezinswoning_58,"168,27","168,19","176,19","176,27",EENGEZINSWONING
eengezinswoning_59,"2,14","2,6","10,6","10,14",EENGEZINSWONING
eengezinswoning_60,"22,92","22,84","30,84","30,92",EENGEZINSWONING
networth,24333337
