structure,corner_1 (bottom_left),corner_2 (bottom_right),corner_3 (top_left),corner_4 (top_right),type
Water_1,"(135, 32)","(180, 32)","(135, 0)","(135, 0)",WATER
Water_2,"(0, 32)","(45, 32)","(0, 0)","(0, 0)",WATER
Water_3,"(135, 160)","(180, 160)","(135, 128)","(135, 128)",WATER
Water_4,"(0, 160)","(45, 160)","(0, 128)","(0, 128)",WATER
maison_1,"(104, 56)","(116, 56)","(104, 46)","(104, 46)",MAISON
maison_2,"(113, 18)","(125, 18)","(113, 8)","(113, 8)",MAISON
maison_3,"(69, 42)","(81, 42)","(69, 32)","(69, 32)",MAISON
maison_4,"(39, 126)","(49, 126)","(39, 114)","(39, 114)",MAISON
maison_5,"(21, 67)","(31, 67)","(21, 55)","(21, 55)",MAISON
maison_6,"(39, 102)","(51, 102)","(39, 92)","(39, 92)",MAISON
maison_7,"(159, 127)","(171, 127)","(159, 117)","(159, 117)",MAISON
maison_8,"(64, 131)","(76, 131)","(64, 121)","(64, 121)",MAISON
maison_9,"(71, 69)","(81, 69)","(71, 57)","(71, 57)",MAISON
bungalow_10,"(66, 152)","(73, 152)","(66, 141)","(66, 141)",BUNGALOW
bungalow_11,"(3, 74)","(10, 74)","(3, 63)","(3, 63)",BUNGALOW
bungalow_12,"(21, 40)","(32, 40)","(21, 33)","(21, 33)",BUNGALOW
bungalow_13,"(88, 109)","(99, 109)","(88, 102)","(88, 102)",BUNGALOW
bungalow_14,"(129, 63)","(136, 63)","(129, 52)","(129, 52)",BUNGALOW
bungalow_15,"(134, 125)","(145, 125)","(134, 118)","(134, 118)",BUNGALOW
bungalow_16,"(68, 94)","(79, 94)","(68, 87)","(68, 87)",BUNGALOW
bungalow_17,"(48, 155)","(55, 155)","(48, 144)","(48, 144)",BUNGALOW
bungalow_18,"(154, 93)","(161, 93)","(154, 82)","(154, 82)",BUNGALOW
bungalow_19,"(105, 76)","(112, 76)","(105, 65)","(105, 65)",BUNGALOW
bungalow_20,"(101, 137)","(108, 137)","(101, 126)","(101, 126)",BUNGALOW
bungalow_21,"(85, 155)","(92, 155)","(85, 144)","(85, 144)",BUNGALOW
bungalow_22,"(48, 82)","(55, 82)","(48, 71)","(48, 71)",BUNGALOW
bungalow_23,"(5, 127)","(16, 127)","(5, 120)","(5, 120)",BUNGALOW
bungalow_24,"(111, 134)","(122, 134)","(111, 127)","(111, 127)",BUNGALOW
single_25,"(158, 64)","(166, 64)","(158, 56)","(158, 56)",SINGLE
single_26,"(118, 158)","(126, 158)","(118, 150)","(118, 150)",SINGLE
single_27,"(28, 84)","(36, 84)","(28, 76)","(28, 76)",SINGLE
single_28,"(122, 123)","(130, 123)","(122, 115)","(122, 115)",SINGLE
single_29,"(3, 101)","(11, 101)","(3, 93)","(3, 93)",SINGLE
single_30,"(21, 103)","(29, 103)","(21, 95)","(21, 95)",SINGLE
single_31,"(3, 56)","(11, 56)","(3, 48)","(3, 48)",SINGLE
single_32,"(46, 65)","(54, 65)","(46, 57)","(46, 57)",SINGLE
single_33,"(59, 109)","(67, 109)","(59, 101)","(59, 101)",SINGLE
single_34,"(130, 83)","(138, 83)","(130, 75)","(130, 75)",SINGLE
single_35,"(75, 23)","(83, 23)","(75, 15)","(75, 15)",SINGLE
single_36,"(90, 18)","(98, 18)","(90, 10)","(90, 10)",SINGLE
single_37,"(128, 100)","(136, 100)","(128, 92)","(128, 92)",SINGLE
single_38,"(20, 120)","(28, 120)","(20, 112)","(20, 112)",SINGLE
single_39,"(138, 46)","(146, 46)","(138, 38)","(138, 38)",SINGLE
single_40,"(152, 105)","(160, 105)","(152, 97)","(152, 97)",SINGLE
single_41,"(47, 35)","(55, 35)","(47, 27)","(47, 27)",SINGLE
single_42,"(64, 19)","(72, 19)","(64, 11)","(64, 11)",SINGLE
single_43,"(73, 109)","(81, 109)","(73, 101)","(73, 101)",SINGLE
single_44,"(125, 41)","(133, 41)","(125, 33)","(125, 33)",SINGLE
single_45,"(38, 49)","(46, 49)","(38, 41)","(38, 41)",SINGLE
single_46,"(156, 47)","(164, 47)","(156, 39)","(156, 39)",SINGLE
single_47,"(154, 77)","(162, 77)","(154, 69)","(154, 69)",SINGLE
single_48,"(86, 138)","(94, 138)","(86, 130)","(86, 130)",SINGLE
single_49,"(6, 115)","(14, 115)","(6, 107)","(6, 107)",SINGLE
single_50,"(100, 151)","(108, 151)","(100, 143)","(100, 143)",SINGLE
single_51,"(141, 109)","(149, 109)","(141, 101)","(141, 101)",SINGLE
single_52,"(168, 93)","(176, 93)","(168, 85)","(168, 85)",SINGLE
single_53,"(93, 79)","(101, 79)","(93, 71)","(93, 71)",SINGLE
single_54,"(45, 20)","(53, 20)","(45, 12)","(45, 12)",SINGLE
single_55,"(107, 96)","(115, 96)","(107, 88)","(107, 88)",SINGLE
single_56,"(139, 95)","(147, 95)","(139, 87)","(139, 87)",SINGLE
single_57,"(9, 45)","(17, 45)","(9, 37)","(9, 37)",SINGLE
single_58,"(115, 80)","(123, 80)","(115, 72)","(115, 72)",SINGLE
single_59,"(168, 42)","(176, 42)","(168, 34)","(168, 34)",SINGLE
single_60,"(148, 67)","(156, 67)","(148, 59)","(148, 59)",SINGLE
networth,24773539
