structure,corner_1,corner_2,corner_3,corner_4,type
Water_1,"50,116","50,44","130,44","130,116",WATER
maison_1,"161,147","161,137","173,137","173,147",MAISON
maison_2,"120,127","120,117","132,117","132,127",MAISON
maison_3,"83,138","83,128","95,128","95,138",MAISON
maison_4,"85,43","85,31","95,31","95,43",MAISON
maison_5,"129,154","129,142","139,142","139,154",MAISON
maison_6,"33,117","33,107","45,107","45,117",MAISON
bungalow_7,"10,70","10,63","21,63","21,70",BUNGALOW
bungalow_8,"137,39","137,32","148,32","148,39",BUNGALOW
bungalow_9,"166,112","166,105","177,105","177,112",BUNGALOW
bungalow_10,"11,152","11,141","18,141","18,152",BUNGALOW
bungalow_11,"106,15","106,8","117,8","117,15",BUNGALOW
bungalow_12,"137,69","137,62","148,62","148,69",BUNGALOW
bungalow_13,"144,85","144,78","155,78","155,85",BUNGALOW
bungalow_14,"69,11","69,4","80,4","80,11",BUNGALOW
bungalow_15,"58,138","58,127","65,127","65,138",BUNGALOW
bungalow_16,"31,38","31,31","42,31","42,38",BUNGALOW
eengezinswoning_17,"24,96","24,88","32,88","32,96",EENGEZINSWONING
eengezinswoning_18,"168,50","168,42","176,42","176,50",EENGEZINSWONING
eengezinswoning_19,"9,111","9,103","17,103","17,111",EENGEZINSWONING
eengezinswoning_20,"144,54","144,46","152,46","152,54",EENGEZINSWONING
eengezinswoning_21,"37,137","37,129","45,129","45,137",EENGEZINSWONING
eengezinswoning_22,"158,13","158,5","166,5","166,13",EENGEZINSWONING
eengezinswoning_23,"69,141","69,133","77,133","77,141",EENGEZINSWONING
eengezinswoning_24,"30,85","30,77","38,77","38,85",EENGEZINSWONING
eengezinswoning_25,"153,115","153,107","161,107","161,115",EENGEZINSWONING
eengezinswoning_26,"41,154","41,146","49,146","49,154",EENGEZINSWONING
eengezinswoning_27,"155,102","155,94","163,94","163,102",EENGEZINSWONING
eengezinswoning_28,"162,73","162,65","170,65","170,73",EENGEZINSWONING
eengezinswoning_29,"17,83","17,75","25,75","25,83",EENGEZINSWONING
eengezinswoning_30,"162,83","162,75","170,75","170,83",EENGEZINSWONING
eengezinswoning_31,"38,17","38,9","46,9","46,17",EENGEZINSWONING
eengezinswoning_32,"3,48","3,40","11,40","11,48",EENGEZINSWONING
eengezinswoning_33,"56,158","56,150","64,150","64,158",EENGEZINSWONING
eengezinswoning_34,"37,100","37,92","45,92","45,100",EENGEZINSWONING
eengezinswoning_35,"164,30","164,22","172,22","172,30",EENGEZINSWONING
eengezinswoning_36,"19,54","19,46","27,46","27,54",EENGEZINSWONING
eengezinswoning_37,"13,19","13,11","21,11","21,19",EENGEZINSWONING
eengezinswoning_38,"26,16","26,8","34,8","34,16",EENGEZINSWONING
eengezinswoning_39,"80,152","80,144","88,144","88,152",EENGEZINSWONING
eengezinswoning_40,"53,40","53,32","61,32","61,40",EENGEZINSWONING
networth,18287005
